module,blueprint,route,full_path,methods,function_name,auth_guards,line
blueprints/inv/views.py,bp_inv,/inv/<sku>,/inv/inv/<sku>,GET|POST|PUT|PATCH|DELETE,inv_sku_api,,104
blueprints/inv/views.py,bp_inv,/inv/<sku>/<location_code>,/inv/inv/<sku>/<location_code>,GET|POST|PUT|PATCH|DELETE,inv_sku_api,,105
blueprints/inv/views.py,bp_inv,/move,/inv/move,GET|POST|PUT|DELETE,move_api,,707
blueprints/inv/views.py,bp_inv,/move/<line_id>,/inv/move/<line_id>,GET|POST|PUT|DELETE,move_api,,708
blueprints/inv/views.py,bp_inv,/move/autolocation,/inv/move/autolocation,POST|DELETE,move_autolocation_api,,914
blueprints/inv/views.py,bp_inv,/move/autolocation/lines,/inv/move/autolocation/lines,POST|DELETE,move_autolocation_api,,915
blueprints/inv/views.py,bp_inv,/move/cancel/<series_code>,/inv/move/cancel/<series_code>,GET|POST,move_cancel_api,,836
blueprints/inv/views.py,bp_inv,/move/done/<series_code>,/inv/move/done/<series_code>,GET|POST,move_done_api,,854
blueprints/inv/views.py,bp_inv,/move/exec/<series_code>,/inv/move/exec/<series_code>,POST,move_exec_api,,795
blueprints/inv/views.py,bp_inv,/move/exec/<series_code>/part,/inv/move/exec/<series_code>/part,POST,move_exec_api,,796
blueprints/inv/views.py,bp_inv,/move/exec_in/<series_code>,/inv/move/exec_in/<series_code>,POST,move_exec_in_api,,893
blueprints/inv/views.py,bp_inv,/move/exec_out/<series_code>,/inv/move/exec_out/<series_code>,POST,move_exec_out_api,,872
blueprints/inv/views.py,bp_inv,/move/one,/inv/move/one,GET|POST|PUT|DELETE,move_api,,709
blueprints/inv/views_replenish.py,bp_inv_replenish,/compute/move,/inv/replenish/compute/move,GET|POST|PUT|PATCH|DELETE,compute_move_api,,34
blueprints/inv/views_replenish.py,bp_inv_replenish,/invwarn,/inv/replenish/invwarn,GET|POST|PUT|PATCH|DELETE,invwarn_api,,150
blueprints/inv/views.py,bp_inv,/rfid,/inv/rfid,GET|POST|PUT|PATCH|DELETE,rfid_api,,146
blueprints/inv/views.py,bp_inv,/rfid/gen,/inv/rfid/gen,GET|POST|PUT|PATCH|DELETE,rfid_gen_api,,206
blueprints/inv/views.py,bp_inv,/rfid/gen/download,/inv/rfid/gen/download,GET|POST|PUT|PATCH|DELETE,rfid_gen_api,,207
blueprints/inv/views.py,bp_inv,/rfid/gen/print,/inv/rfid/gen/print,GET|POST|PUT|PATCH|DELETE,rfid_gen_api,,208
blueprints/inv/views.py,bp_inv,/rfid/history/<rfid>,/inv/rfid/history/<rfid>,GET|POST|PUT|PATCH|DELETE,rfid_history_api,,191
blueprints/inv/views.py,bp_inv,/warn/high,/inv/warn/high,GET|POST,warn_high_api,,1141
blueprints/inv/views.py,bp_inv,/warn/low,/inv/warn/low,GET|POST,warn_low_api,,1181
blueprints/qimen/views.py,bp_qimen,/,/open/qimen,GET|POST|PUT|PATCH|DELETE,qimen_api,,37
blueprints/qimen/views.py,bp_qimen,/confirm/<inout>/<order_id>,/open/qimen/confirm/<inout>/<order_id>,GET|POST|PUT|PATCH|DELETE,confirm_api,,90
blueprints/qimen/views.py,bp_qimen,/confirm/backtest,/open/qimen/confirm/backtest,GET|POST|PUT|PATCH|DELETE,confirm_backtest_api,,99
blueprints/qimen/views.py,bp_qimen,/confirm/backtest/xml,/open/qimen/confirm/backtest/xml,GET|POST|PUT|PATCH|DELETE,confirm_backtest_api,,100
blueprints/qimen/views.py,bp_qimen,/xml,/open/qimen/xml,GET|POST|PUT|PATCH|DELETE,qimen_api,,38
blueprints/index/views.py,bp_index,/pda,/pda,GET,vue_pda_index,,40
blueprints/stockin/views.py,bp_stockin,/<int:stockin_id>/autolocation,/stockin/<int:stockin_id>/autolocation,POST|DELETE,stockin_autolocation_api,,192
blueprints/stockin/views.py,bp_stockin,/<int:stockin_id>/autolocation/lines,/stockin/<int:stockin_id>/autolocation/lines,POST|DELETE,stockin_autolocation_api,,193
blueprints/stockin/views.py,bp_stockin,/<int:stockin_id>/line,/stockin/<int:stockin_id>/line,POST|DELETE,stockin_line_api,,156
blueprints/stockin/views.py,bp_stockin,/<int:stockin_id>/line/<line_id>,/stockin/<int:stockin_id>/line/<line_id>,POST|DELETE,stockin_line_api,,157
blueprints/stockin/views.py,bp_stockin,/cancel/<stockin_id>,/stockin/cancel/<stockin_id>,GET|POST,cancel_api,,525
blueprints/stockin/views.py,bp_stockin,/check,/stockin/check,GET|POST,check_api,,541
blueprints/stockin/views.py,bp_stockin,/done/<stockin_id>,/stockin/done/<stockin_id>,GET|POST,done_api,,511
blueprints/stockin/views.py,bp_stockin,/putin/<stockin_id>,/stockin/putin/<stockin_id>,GET|POST,putin_api,,252
blueprints/stockin/views.py,bp_stockin,/putin/rfid/<stockin_id>,/stockin/putin/rfid/<stockin_id>,GET|POST,putin_rfid_api,,331
blueprints/stockin/views.py,bp_stockin,/putin/rfid/<stockin_id>/overcharge,/stockin/putin/rfid/<stockin_id>/overcharge,GET|POST,putin_rfid_api,,332
blueprints/stockin/views.py,bp_stockin,/putin/rfid/no-order,/stockin/putin/rfid/no-order,GET|POST,putin_rfid_no_order_api,,395
blueprints/stockin/views.py,bp_stockin,/putin/rfid/no-order/overcharge,/stockin/putin/rfid/no-order/overcharge,GET|POST,putin_rfid_no_order_api,,396
blueprints/stockin/views.py,bp_stockin,/recommend/location/<stockin_line_id>,/stockin/recommend/location/<stockin_line_id>,GET,recommend_location,,491
blueprints/stockin/views.py,bp_stockin,/recommend/location/sku/<sku>,/stockin/recommend/location/sku/<sku>,GET,recommend_location_by_sku,,501
blueprints/stockin/views.py,bp_stockin,/recommend/location/sku/<sku>/<location>,/stockin/recommend/location/sku/<sku>/<location>,GET,recommend_location_by_sku,,502
blueprints/stockin/views.py,bp_stockin,/reverse/<order_id>,/stockin/reverse/<order_id>,GET|POST|PUT|PATCH|DELETE,stockin_reverse_api,,606
blueprints/stockin/views.py,bp_stockin,/stockin,/stockin/stockin,GET|POST|PUT|PATCH|DELETE,stockin_api,,27
blueprints/stockin/views.py,bp_stockin,/stockin/info,/stockin/stockin/info,GET|POST|PUT|PATCH|DELETE,stockin_info_api,,135
blueprints/stockin/views.py,bp_stockin,/stockin/one/<order_id>,/stockin/stockin/one/<order_id>,GET|POST|PUT|PATCH|DELETE,stockin_one_api,,72
blueprints/stockin/views.py,bp_stockin,/to_move/<stockin_id>,/stockin/to_move/<stockin_id>,GET|POST,to_move_api,,592
blueprints/stockin/views.py,bp_stockin,/trans/<stockin_id>,/stockin/trans/<stockin_id>,GET,trans_api,,215
blueprints/stockin/views.py,bp_stockin,/trans/<stockin_id>/line/<stockin_line_id>,/stockin/trans/<stockin_id>/line/<stockin_line_id>,GET,trans_api,,216
blueprints/stockout/views.py,bp_stockout,/<stockout_id>/line,/stockout/<stockout_id>/line,GET|POST|PUT|PATCH|DELETE,stockout_line_api,,175
blueprints/stockout/views.py,bp_stockout,/<stockout_id>/line/<line_id>,/stockout/<stockout_id>/line/<line_id>,GET|POST|PUT|PATCH|DELETE,stockout_line_api,,176
blueprints/stockout/views.py,bp_stockout,/alloc/<stockout_id>,/stockout/alloc/<stockout_id>,GET|POST,alloc_api,,250
